id_anomalia,id_empresa,tipo_anomalia,data_evento,valor_original,valor_anomalo,origem,descricao
1,1,Valor Excepcional,2023-09-13,3559.95,17843.46,entrada,Anomalia sintética criada para detecção analítica.
2,1,Possível Duplicidade,2024-08-01,1476.46,8023.72,entrada,Anomalia sintética criada para detecção analítica.
3,1,Recebimento Atípico,2025-03-03,18154.57,42277.36,entrada,Anomalia sintética criada para detecção analítica.
4,1,Valor Excepcional,2025-07-23,15144.77,56386.12,entrada,Anomalia sintética criada para detecção analítica.
5,2,Recebimento Atípico,2023-12-16,5993.36,20258.03,entrada,Anomalia sintética criada para detecção analítica.
6,2,Possível Duplicidade,2024-09-13,15819.25,44726.77,entrada,Anomalia sintética criada para detecção analítica.
7,2,Recebimento Atípico,2024-10-30,3148.32,8637.42,entrada,Anomalia sintética criada para detecção analítica.
8,2,Valor Excepcional,2025-08-22,11666.09,32373.9,entrada,Anomalia sintética criada para detecção analítica.
9,2,Recebimento Atípico,2025-06-15,5602.6,20659.18,entrada,Anomalia sintética criada para detecção analítica.
10,2,Recebimento Atípico,2025-07-12,195.89,563.63,entrada,Anomalia sintética criada para detecção analítica.
11,2,Recebimento Atípico,2025-10-22,3777.91,10132.36,entrada,Anomalia sintética criada para detecção analítica.
12,3,Possível Duplicidade,2023-02-15,4292.56,22309.75,entrada,Anomalia sintética criada para detecção analítica.
13,3,Possível Duplicidade,2024-03-12,5880.98,29838.4,entrada,Anomalia sintética criada para detecção analítica.
14,3,Possível Duplicidade,2025-08-08,2770.24,10565.25,entrada,Anomalia sintética criada para detecção analítica.
15,4,Valor Excepcional,2023-02-01,2750.33,12431.21,entrada,Anomalia sintética criada para detecção analítica.
16,4,Valor Excepcional,2023-04-07,1613.6,4152.56,entrada,Anomalia sintética criada para detecção analítica.
17,4,Valor Excepcional,2023-06-07,527.41,1385.91,entrada,Anomalia sintética criada para detecção analítica.
18,4,Recebimento Atípico,2023-04-15,13563.15,32676.17,entrada,Anomalia sintética criada para detecção analítica.
19,4,Possível Duplicidade,2023-06-21,3270.64,11744.34,entrada,Anomalia sintética criada para detecção analítica.
20,4,Recebimento Atípico,2023-09-11,2335.25,12652.87,entrada,Anomalia sintética criada para detecção analítica.
21,4,Recebimento Atípico,2023-08-30,1602.91,6886.38,entrada,Anomalia sintética criada para detecção analítica.
22,4,Valor Excepcional,2023-09-02,5998.22,31078.37,entrada,Anomalia sintética criada para detecção analítica.
23,4,Recebimento Atípico,2023-09-04,12390.14,30406.05,entrada,Anomalia sintética criada para detecção analítica.
24,4,Valor Excepcional,2023-08-25,11611.02,36851.3,entrada,Anomalia sintética criada para detecção analítica.
25,4,Valor Excepcional,2023-09-02,1015.23,2533.41,entrada,Anomalia sintética criada para detecção analítica.
26,4,Possível Duplicidade,2023-10-26,4758.87,21584.06,entrada,Anomalia sintética criada para detecção analítica.
27,4,Valor Excepcional,2024-01-15,7935.5,38114.44,entrada,Anomalia sintética criada para detecção analítica.
28,4,Possível Duplicidade,2024-02-29,2926.28,14580.25,entrada,Anomalia sintética criada para detecção analítica.
29,4,Valor Excepcional,2024-05-22,8445.89,44338.71,entrada,Anomalia sintética criada para detecção analítica.
30,4,Recebimento Atípico,2024-06-19,6855.87,37521.67,entrada,Anomalia sintética criada para detecção analítica.
31,4,Recebimento Atípico,2024-07-07,3794.12,9696.85,entrada,Anomalia sintética criada para detecção analítica.
32,4,Possível Duplicidade,2024-10-05,21132.2,64295.3,entrada,Anomalia sintética criada para detecção analítica.
33,4,Possível Duplicidade,2024-08-19,4680.03,12535.58,entrada,Anomalia sintética criada para detecção analítica.
34,4,Recebimento Atípico,2024-09-04,5135.03,19399.03,entrada,Anomalia sintética criada para detecção analítica.
35,4,Possível Duplicidade,2024-11-03,1588.45,7570.28,entrada,Anomalia sintética criada para detecção analítica.
36,4,Valor Excepcional,2024-10-01,11644.0,56117.16,entrada,Anomalia sintética criada para detecção analítica.
