mes_referencia,inflacao_mensal_pct,selic_anual_pct
2023-01-01,0.4798,13.7334
2023-02-01,0.5285,13.8328
2023-03-01,0.5133,13.5219
2023-04-01,0.6561,13.5421
2023-05-01,0.5616,13.4151
2023-06-01,0.5835,13.1941
2023-07-01,0.6395,12.9204
2023-08-01,0.5265,12.9825
2023-09-01,0.5654,12.9877
2023-10-01,0.5592,12.6805
2023-11-01,0.6811,12.7229
2023-12-01,0.5696,12.479
2024-01-01,0.4996,11.7633
2024-02-01,0.4259,11.6751
2024-03-01,0.4194,11.475
2024-04-01,0.3796,11.6123
2024-05-01,0.3768,11.1431
2024-06-01,0.3924,11.0035
2024-07-01,0.3263,10.7948
2024-08-01,0.2115,10.9336
2024-09-01,0.3207,10.8106
2024-10-01,0.2632,10.6339
2024-11-01,0.1841,10.4636
2024-12-01,0.2565,10.5569
2025-01-01,0.3242,10.2884
2025-02-01,0.3497,10.5338
2025-03-01,0.3222,10.7334
2025-04-01,0.4616,10.8518
2025-05-01,0.3887,10.7829
2025-06-01,0.4988,11.0171
2025-07-01,0.4886,10.9577
2025-08-01,0.4861,10.9165
2025-09-01,0.6313,11.3027
2025-10-01,0.6018,11.3404
2025-11-01,0.6437,11.2226
2025-12-01,0.6512,11.5646
2026-01-01,0.6259,11.5878
2026-02-01,0.4607,11.4486
2026-03-01,0.6047,11.2641
2026-04-01,0.5793,11.0115
2026-05-01,0.5287,11.2429
2026-06-01,0.5942,11.0878
