id_pagamento,id_empresa,id_fornecedor,data_emissao,data_vencimento,data_pagamento,valor,categoria,status,data_criacao
1,1,12,2023-01-04,2023-01-19,2023-01-20,136341.47,Folha de Pagamento,paga,2026-06-19 11:56:24.982974
2,1,19,2023-01-09,2023-01-24,2023-01-24,68170.73,Impostos,paga,2026-06-19 11:56:24.982974
3,1,16,2023-01-04,2023-01-19,2023-01-21,34085.37,Aluguel,paga,2026-06-19 11:56:24.982974
4,1,2,2023-01-09,2023-02-08,2023-02-09,21303.35,Tecnologia,paga,2026-06-19 11:56:24.982974
5,1,1,2023-01-09,2023-01-16,2023-01-16,25564.03,Marketing,paga,2026-06-19 11:56:24.982974
6,1,5,2023-01-03,2023-02-02,2023-01-31,17042.68,Energia,paga,2026-06-19 11:56:24.982974
7,1,12,2023-01-06,2023-01-21,2023-01-20,11589.55,Compra de Mercadorias,paga,2026-06-19 11:56:24.982974
8,1,16,2023-01-09,2023-01-30,2023-01-31,21267.96,Logística,paga,2026-06-19 11:56:24.982974
9,1,15,2023-01-09,2023-01-16,2023-01-16,24362.15,Serviços Terceirizados,paga,2026-06-19 11:56:24.982974
10,1,2,2023-01-09,2023-01-16,2023-01-14,66339.79,Manutenção,paga,2026-06-19 11:56:24.982974
11,1,16,2023-02-06,2023-02-21,2023-02-22,105291.84,Folha de Pagamento,paga,2026-06-19 11:56:24.983974
12,1,6,2023-02-06,2023-02-13,2023-02-13,52645.92,Impostos,paga,2026-06-19 11:56:24.983974
13,1,14,2023-02-06,2023-03-23,2023-03-24,26322.96,Aluguel,paga,2026-06-19 11:56:24.983974
14,1,17,2023-02-07,2023-02-14,2023-02-16,16451.85,Tecnologia,paga,2026-06-19 11:56:24.983974
15,1,13,2023-02-06,2023-02-13,2023-02-13,19742.22,Marketing,paga,2026-06-19 11:56:24.983974
16,1,16,2023-02-01,2023-03-03,2023-03-05,13161.48,Energia,paga,2026-06-19 11:56:24.983974
17,1,9,2023-02-03,2023-02-10,2023-02-11,49224.08,Compra de Mercadorias,paga,2026-06-19 11:56:24.983974
18,1,16,2023-02-01,2023-03-03,2023-03-03,67.68,Logística,paga,2026-06-19 11:56:24.983974
19,1,2,2023-02-06,2023-03-23,2023-03-22,15388.0,Serviços Terceirizados,paga,2026-06-19 11:56:24.983974
20,1,19,2023-02-06,2023-03-23,2023-03-24,30740.97,Manutenção,paga,2026-06-19 11:56:24.983974
21,1,18,2023-03-08,2023-04-22,2023-04-24,144711.83,Folha de Pagamento,paga,2026-06-19 11:56:24.984479
22,1,11,2023-03-07,2023-03-28,2023-03-28,72355.91,Impostos,paga,2026-06-19 11:56:24.984479
23,1,9,2023-03-02,2023-03-09,2023-03-08,36177.96,Aluguel,paga,2026-06-19 11:56:24.984479
24,1,8,2023-03-10,2023-03-17,2023-03-19,22611.22,Tecnologia,paga,2026-06-19 11:56:24.984479
25,1,18,2023-03-10,2023-04-09,2023-04-11,27133.47,Marketing,paga,2026-06-19 11:56:24.984479
26,1,2,2023-03-01,2023-03-16,2023-03-17,18088.98,Energia,paga,2026-06-19 11:56:24.984479
27,1,1,2023-03-10,2023-03-17,2023-03-17,8696.78,Compra de Mercadorias,paga,2026-06-19 11:56:24.984479
28,1,1,2023-03-02,2023-03-09,2023-03-10,6784.86,Logística,paga,2026-06-19 11:56:24.984479
29,1,19,2023-03-09,2023-03-24,2023-03-24,18630.49,Serviços Terceirizados,paga,2026-06-19 11:56:24.984479
30,1,6,2023-03-08,2023-03-23,2023-03-22,97032.97,Manutenção,paga,2026-06-19 11:56:24.984479
31,1,6,2023-04-03,2023-04-10,2023-04-11,140754.58,Folha de Pagamento,paga,2026-06-19 11:56:24.985982
32,1,7,2023-04-03,2023-05-18,2023-05-18,70377.29,Impostos,paga,2026-06-19 11:56:24.985982
33,1,16,2023-04-03,2023-04-24,2023-04-22,35188.65,Aluguel,paga,2026-06-19 11:56:24.985982
34,1,14,2023-04-10,2023-04-25,2023-04-27,21992.9,Tecnologia,paga,2026-06-19 11:56:24.985982
35,1,2,2023-04-10,2023-05-10,2023-05-09,26391.48,Marketing,paga,2026-06-19 11:56:24.985982
36,1,7,2023-04-03,2023-05-03,2023-05-03,17594.32,Energia,paga,2026-06-19 11:56:24.985982
37,1,7,2023-04-10,2023-05-01,2023-05-03,58647.54,Compra de Mercadorias,paga,2026-06-19 11:56:24.985982
38,1,4,2023-04-10,2023-05-01,2023-05-01,27446.97,Logística,paga,2026-06-19 11:56:24.985982
39,1,17,2023-04-06,2023-05-21,2023-05-19,1047.4,Serviços Terceirizados,paga,2026-06-19 11:56:24.985982
40,1,4,2023-04-07,2023-04-22,2023-04-22,40416.92,Manutenção,paga,2026-06-19 11:56:24.985982
41,1,16,2023-05-05,2023-05-26,2023-05-26,118378.78,Folha de Pagamento,paga,2026-06-19 11:56:24.986986
42,1,10,2023-05-02,2023-05-17,2023-05-17,59189.39,Impostos,paga,2026-06-19 11:56:24.986986
43,1,18,2023-05-08,2023-05-23,2023-05-24,29594.69,Aluguel,paga,2026-06-19 11:56:24.986986
44,1,18,2023-05-08,2023-05-15,2023-05-15,18496.68,Tecnologia,paga,2026-06-19 11:56:24.986986
45,1,6,2023-05-03,2023-05-18,2023-05-18,22196.02,Marketing,paga,2026-06-19 11:56:24.986986
46,1,12,2023-05-03,2023-05-24,2023-05-23,14797.35,Energia,paga,2026-06-19 11:56:24.986986
47,1,12,2023-05-04,2023-06-18,2023-06-20,30446.86,Compra de Mercadorias,paga,2026-06-19 11:56:24.986986
48,1,2,2023-05-03,2023-06-02,2023-06-04,18336.02,Logística,paga,2026-06-19 11:56:24.986986
49,1,16,2023-05-03,2023-05-24,2023-05-24,1734.07,Serviços Terceirizados,paga,2026-06-19 11:56:24.986986
50,1,17,2023-05-09,2023-05-30,2023-06-01,56763.81,Manutenção,paga,2026-06-19 11:56:24.986986
51,1,8,2023-06-12,2023-06-19,2023-06-17,132248.88,Folha de Pagamento,paga,2026-06-19 11:56:24.987989
52,1,15,2023-06-05,2023-06-26,2023-06-26,66124.44,Impostos,paga,2026-06-19 11:56:24.987989
53,1,8,2023-06-07,2023-06-22,2023-06-22,33062.22,Aluguel,paga,2026-06-19 11:56:24.987989
54,1,19,2023-06-05,2023-06-26,2023-07-18,20663.89,Tecnologia,paga,2026-06-19 11:56:24.987989
55,1,13,2023-06-02,2023-06-09,2023-06-08,24796.66,Marketing,paga,2026-06-19 11:56:24.987989
56,1,7,2023-06-09,2023-07-24,2023-07-22,16531.11,Energia,paga,2026-06-19 11:56:24.987989
57,1,14,2023-06-12,2023-07-03,2023-07-02,36353.51,Compra de Mercadorias,paga,2026-06-19 11:56:24.987989
58,1,13,2023-06-02,2023-06-17,2023-06-16,26584.45,Logística,paga,2026-06-19 11:56:24.987989
59,1,6,2023-06-07,2023-07-22,2023-07-20,50652.35,Serviços Terceirizados,paga,2026-06-19 11:56:24.987989
60,1,2,2023-06-01,2023-06-16,2023-06-18,6260.24,Manutenção,paga,2026-06-19 11:56:24.987989
61,1,16,2023-07-07,2023-07-28,2023-07-26,130128.3,Folha de Pagamento,paga,2026-06-19 11:56:24.987989
62,1,10,2023-07-10,2023-07-17,2023-07-19,65064.15,Impostos,paga,2026-06-19 11:56:24.987989
63,1,2,2023-07-03,2023-08-02,2023-07-31,32532.07,Aluguel,paga,2026-06-19 11:56:24.987989
64,1,4,2023-07-04,2023-07-19,2023-07-19,20332.55,Tecnologia,paga,2026-06-19 11:56:24.987989
65,1,8,2023-07-10,2023-07-25,2023-07-24,24399.06,Marketing,paga,2026-06-19 11:56:24.987989
66,1,17,2023-07-03,2023-07-24,2023-07-25,16266.04,Energia,paga,2026-06-19 11:56:24.987989
67,1,15,2023-07-05,2023-07-12,2023-07-11,2231.74,Compra de Mercadorias,paga,2026-06-19 11:56:24.989233
68,1,9,2023-07-04,2023-08-18,2023-08-16,77323.3,Logística,paga,2026-06-19 11:56:24.989233
69,1,16,2023-07-10,2023-08-24,2023-08-22,24257.84,Serviços Terceirizados,paga,2026-06-19 11:56:24.989233
70,1,14,2023-07-03,2023-08-02,2023-07-31,14115.89,Manutenção,paga,2026-06-19 11:56:24.989233
71,1,19,2023-08-03,2023-08-24,2023-08-23,110211.83,Folha de Pagamento,paga,2026-06-19 11:56:24.989233
72,1,6,2023-08-02,2023-08-23,2023-08-21,55105.91,Impostos,paga,2026-06-19 11:56:24.989233
73,1,16,2023-08-04,2023-08-25,2023-08-24,27552.96,Aluguel,paga,2026-06-19 11:56:24.989233
74,1,17,2023-08-10,2023-09-24,2023-10-16,17220.6,Tecnologia,paga,2026-06-19 11:56:24.989233
75,1,6,2023-08-03,2023-08-18,2023-08-18,20664.72,Marketing,paga,2026-06-19 11:56:24.989233
76,1,5,2023-08-09,2023-08-16,2023-08-17,13776.48,Energia,paga,2026-06-19 11:56:24.989233
77,1,7,2023-08-04,2023-08-11,2023-08-10,32877.04,Compra de Mercadorias,paga,2026-06-19 11:56:24.989233
78,1,9,2023-08-07,2023-09-21,2023-09-23,19889.3,Logística,paga,2026-06-19 11:56:24.989233
79,1,12,2023-08-04,2023-08-25,2023-08-26,17057.22,Serviços Terceirizados,paga,2026-06-19 11:56:24.989233
80,1,5,2023-08-07,2023-08-22,2023-08-22,30055.91,Manutenção,paga,2026-06-19 11:56:24.990230
81,1,2,2023-09-04,2023-09-11,2023-09-12,100609.28,Folha de Pagamento,paga,2026-06-19 11:56:24.990733
82,1,16,2023-09-08,2023-10-23,2023-10-23,50304.64,Impostos,paga,2026-06-19 11:56:24.990733
83,1,5,2023-09-08,2023-10-08,2023-10-10,25152.32,Aluguel,paga,2026-06-19 11:56:24.990733
84,1,6,2023-09-04,2023-09-25,2023-09-27,15720.2,Tecnologia,paga,2026-06-19 11:56:24.990733
85,1,12,2023-09-11,2023-09-26,2023-09-27,18864.24,Marketing,paga,2026-06-19 11:56:24.990733
86,1,2,2023-09-05,2023-10-20,2023-10-21,12576.16,Energia,paga,2026-06-19 11:56:24.990733
87,1,3,2023-09-11,2023-10-11,2023-10-10,17867.89,Compra de Mercadorias,paga,2026-06-19 11:56:24.990733
88,1,14,2023-09-04,2023-09-25,2023-09-27,34425.16,Logística,paga,2026-06-19 11:56:24.990733
89,1,13,2023-09-08,2023-09-29,2023-09-28,1327.25,Serviços Terceirizados,paga,2026-06-19 11:56:24.990733
90,1,14,2023-09-05,2023-09-20,2023-09-21,37556.86,Manutenção,paga,2026-06-19 11:56:24.990733
91,1,2,2023-10-03,2023-11-02,2023-11-04,138708.88,Folha de Pagamento,paga,2026-06-19 11:56:24.991737
92,1,13,2023-10-02,2023-10-23,2023-10-21,69354.44,Impostos,paga,2026-06-19 11:56:24.991737
93,1,9,2023-10-02,2023-10-09,2023-10-07,34677.22,Aluguel,paga,2026-06-19 11:56:24.991737
94,1,3,2023-10-03,2023-11-02,2023-10-31,21673.26,Tecnologia,paga,2026-06-19 11:56:24.991737
95,1,14,2023-10-05,2023-10-26,2023-10-25,26007.92,Marketing,paga,2026-06-19 11:56:24.991737
96,1,15,2023-10-03,2023-11-02,2023-11-02,17338.61,Energia,paga,2026-06-19 11:56:24.991737
97,1,11,2023-10-09,2023-10-16,2023-10-15,6295.28,Compra de Mercadorias,paga,2026-06-19 11:56:24.991737
98,1,2,2023-10-03,2023-11-02,2023-10-31,7047.74,Logística,paga,2026-06-19 11:56:24.991737
99,1,9,2023-10-09,2023-11-23,2023-11-23,22199.34,Serviços Terceirizados,paga,2026-06-19 11:56:24.991737
100,1,12,2023-10-02,2023-11-16,2023-11-14,90162.56,Manutenção,paga,2026-06-19 11:56:24.991737
101,1,17,2023-11-01,2023-12-01,2023-11-29,167514.07,Folha de Pagamento,paga,2026-06-19 11:56:24.992241
102,1,16,2023-11-07,2023-11-22,2023-11-22,83757.03,Impostos,paga,2026-06-19 11:56:24.992241
103,1,18,2023-11-06,2023-11-21,2023-11-22,41878.52,Aluguel,paga,2026-06-19 11:56:24.992241
104,1,19,2023-11-06,2023-12-21,2023-12-19,26174.07,Tecnologia,paga,2026-06-19 11:56:24.992241
105,1,18,2023-11-08,2023-11-29,2023-11-30,31408.89,Marketing,paga,2026-06-19 11:56:24.992241
106,1,5,2023-11-06,2023-12-06,2023-12-08,20939.26,Energia,paga,2026-06-19 11:56:24.992241
107,1,1,2023-11-01,2023-12-01,2023-12-02,3238.62,Compra de Mercadorias,paga,2026-06-19 11:56:24.992241
108,1,14,2023-11-06,2023-11-21,2023-11-23,123553.47,Logística,paga,2026-06-19 11:56:24.992241
109,1,16,2023-11-10,2023-11-17,2023-11-17,16193.55,Serviços Terceirizados,paga,2026-06-19 11:56:24.992241
110,1,18,2023-11-03,2023-11-10,2023-11-09,10772.16,Manutenção,paga,2026-06-19 11:56:24.992241
111,1,14,2023-12-06,2024-01-05,2024-01-04,171815.98,Folha de Pagamento,paga,2026-06-19 11:56:24.993248
112,1,5,2023-12-05,2024-01-19,2024-01-17,85907.99,Impostos,paga,2026-06-19 11:56:24.993248
113,1,6,2023-12-07,2023-12-22,2023-12-21,42954.0,Aluguel,paga,2026-06-19 11:56:24.993248
114,1,9,2023-12-11,2023-12-26,2023-12-25,26846.25,Tecnologia,paga,2026-06-19 11:56:24.993248
115,1,6,2023-12-06,2024-01-05,2024-01-03,32215.5,Marketing,paga,2026-06-19 11:56:24.993248
116,1,12,2023-12-07,2024-01-06,2024-01-06,21477.0,Energia,paga,2026-06-19 11:56:24.993248
117,1,2,2023-12-04,2023-12-25,2023-12-24,40263.99,Compra de Mercadorias,paga,2026-06-19 11:56:24.993248
118,1,14,2023-12-11,2024-01-25,2024-01-24,40731.39,Logística,paga,2026-06-19 11:56:24.993248
119,1,4,2023-12-04,2023-12-25,2023-12-27,74598.37,Serviços Terceirizados,paga,2026-06-19 11:56:24.993248
120,1,17,2023-12-08,2024-01-07,2024-01-05,114.48,Manutenção,paga,2026-06-19 11:56:24.993248
121,1,6,2024-01-09,2024-02-23,2024-02-25,131440.83,Folha de Pagamento,paga,2026-06-19 11:56:24.994750
122,1,2,2024-01-05,2024-02-04,2024-02-04,65720.42,Impostos,paga,2026-06-19 11:56:24.994750
123,1,6,2024-01-04,2024-01-11,2024-01-11,32860.21,Aluguel,paga,2026-06-19 11:56:24.994750
124,1,14,2024-01-08,2024-01-23,2024-01-21,20537.63,Tecnologia,paga,2026-06-19 11:56:24.994750
125,1,18,2024-01-04,2024-02-18,2024-02-19,24645.16,Marketing,paga,2026-06-19 11:56:24.994750
126,1,10,2024-01-08,2024-01-15,2024-01-13,16430.1,Energia,paga,2026-06-19 11:56:24.994750
127,1,17,2024-01-03,2024-01-24,2024-01-23,29721.91,Compra de Mercadorias,paga,2026-06-19 11:56:24.994750
128,1,17,2024-01-05,2024-02-04,2024-02-04,17332.2,Logística,paga,2026-06-19 11:56:24.994750
129,1,13,2024-01-02,2024-01-09,2024-01-10,50902.35,Serviços Terceirizados,paga,2026-06-19 11:56:24.994750
130,1,5,2024-01-03,2024-01-24,2024-01-22,21161.8,Manutenção,paga,2026-06-19 11:56:24.994750
131,1,9,2024-02-01,2024-02-08,2024-02-06,103384.53,Folha de Pagamento,paga,2026-06-19 11:56:24.994750
132,1,2,2024-02-01,2024-02-08,2024-02-10,51692.26,Impostos,paga,2026-06-19 11:56:24.994750
133,1,14,2024-02-07,2024-03-08,2024-03-07,25846.13,Aluguel,paga,2026-06-19 11:56:24.994750
134,1,19,2024-02-09,2024-02-16,2024-02-16,16153.83,Tecnologia,paga,2026-06-19 11:56:24.994750
135,1,9,2024-02-09,2024-02-24,2024-02-22,19384.6,Marketing,paga,2026-06-19 11:56:24.994750
136,1,9,2024-02-05,2024-03-06,2024-03-08,12923.07,Energia,paga,2026-06-19 11:56:24.994750
137,1,8,2024-02-12,2024-03-04,2024-03-06,23387.87,Compra de Mercadorias,paga,2026-06-19 11:56:24.994750
138,1,7,2024-02-05,2024-02-20,2024-02-22,51719.15,Logística,paga,2026-06-19 11:56:24.994750
139,1,11,2024-02-09,2024-03-25,2024-03-26,6153.03,Serviços Terceirizados,paga,2026-06-19 11:56:24.994750
140,1,9,2024-02-02,2024-03-03,2024-03-04,12432.18,Manutenção,paga,2026-06-19 11:56:24.994750
141,1,2,2024-03-04,2024-04-18,2024-04-16,175070.95,Folha de Pagamento,paga,2026-06-19 11:56:24.997259
142,1,8,2024-03-04,2024-03-19,2024-03-18,87535.48,Impostos,paga,2026-06-19 11:56:24.997259
143,1,7,2024-03-08,2024-03-15,2024-03-14,43767.74,Aluguel,paga,2026-06-19 11:56:24.997259
144,1,18,2024-03-04,2024-03-19,2024-03-21,27354.84,Tecnologia,paga,2026-06-19 11:56:24.997259
145,1,11,2024-03-04,2024-03-25,2024-03-26,32825.8,Marketing,paga,2026-06-19 11:56:24.997259
146,1,3,2024-03-05,2024-03-26,2024-03-24,21883.87,Energia,paga,2026-06-19 11:56:24.997259
147,1,5,2024-03-11,2024-04-10,2024-04-10,13831.57,Compra de Mercadorias,paga,2026-06-19 11:56:24.997259
148,1,1,2024-03-11,2024-03-18,2024-03-17,1886.23,Logística,paga,2026-06-19 11:56:24.997259
149,1,1,2024-03-11,2024-03-18,2024-03-18,112214.01,Serviços Terceirizados,paga,2026-06-19 11:56:24.997259
150,1,9,2024-03-06,2024-04-05,2024-04-04,30726.25,Manutenção,paga,2026-06-19 11:56:24.997259
151,1,13,2024-04-04,2024-04-19,2024-04-21,156927.79,Folha de Pagamento,paga,2026-06-19 11:56:24.997259
152,1,15,2024-04-02,2024-04-23,2024-04-21,78463.89,Impostos,paga,2026-06-19 11:56:24.997259
153,1,4,2024-04-05,2024-04-26,2024-04-24,39231.95,Aluguel,paga,2026-06-19 11:56:24.997259
154,1,16,2024-04-03,2024-04-24,2024-04-24,24519.97,Tecnologia,paga,2026-06-19 11:56:24.997259
155,1,18,2024-04-05,2024-05-20,2024-05-20,29423.96,Marketing,paga,2026-06-19 11:56:24.997259
156,1,9,2024-04-01,2024-04-22,2024-04-24,19615.97,Energia,paga,2026-06-19 11:56:24.997259
157,1,13,2024-04-03,2024-04-10,2024-04-08,23315.41,Compra de Mercadorias,paga,2026-06-19 11:56:24.997259
158,1,16,2024-04-09,2024-04-24,2024-04-25,11372.23,Logística,paga,2026-06-19 11:56:24.997259
159,1,3,2024-04-01,2024-04-08,2024-04-10,14394.24,Serviços Terceirizados,paga,2026-06-19 11:56:24.997259
160,1,13,2024-04-01,2024-04-08,2024-04-10,93133.93,Manutenção,paga,2026-06-19 11:56:24.997259
161,1,3,2024-05-06,2024-06-05,2024-06-04,130971.86,Folha de Pagamento,paga,2026-06-19 11:56:24.998762
