id_empresa,nome_empresa,setor,porte,data_abertura,faturamento_medio,quantidade_funcionarios,status,data_criacao
1,Porto Tech 01,Tecnologia,Média,2004-04-05,489528.73,72,ativa,2026-06-19 11:56:22.669568
2,Camargo Comércio 02,Varejo,Média,2006-12-02,613453.48,155,ativa,2026-06-19 11:56:22.669568
3,Alves Foods 03,Alimentação,Média,2004-12-22,376664.06,81,ativa,2026-06-19 11:56:22.669568
4,Sousa Digital 04,Tecnologia,Grande,2003-08-08,935137.15,152,ativa,2026-06-19 11:56:22.669568
5,daMota Digital 05,Tecnologia,Média,2010-12-25,264907.9,73,ativa,2026-06-19 11:56:22.669568
6,daCruz Store 06,Varejo,Média,2001-03-15,662526.13,177,ativa,2026-06-19 11:56:22.669568
7,Câmara Digital 07,Tecnologia,Grande,1999-06-10,980479.91,73,ativa,2026-06-19 11:56:22.669568
8,Carvalho Magazine 08,Varejo,Grande,2018-08-01,816971.87,176,ativa,2026-06-19 11:56:22.669568
9,Sousa Industrial 09,Indústria,Média,2020-11-09,668015.1,105,ativa,2026-06-19 11:56:22.669568
10,Caldeira Digital 10,Tecnologia,Grande,2021-09-26,803970.66,134,ativa,2026-06-19 11:56:22.669568
11,Rocha Alimentos 11,Alimentação,Média,2018-05-09,304360.07,50,ativa,2026-06-19 11:56:22.669568
12,Sousa Foods 12,Alimentação,Média,2004-11-09,497811.72,60,ativa,2026-06-19 11:56:22.669568
13,Nogueira Serviços 13,Serviços,Média,2011-10-18,312379.81,114,ativa,2026-06-19 11:56:22.669568
14,Borges Manufatura 14,Indústria,Média,2005-05-29,532352.74,278,ativa,2026-06-19 11:56:22.669568
15,Pastor Gastronomia 15,Alimentação,Média,2017-08-26,516144.7,105,ativa,2026-06-19 11:56:22.669568
16,Lima Software 16,Tecnologia,Grande,2008-04-08,913684.13,30,ativa,2026-06-19 11:56:22.669568
17,Andrade Varejista 17,Varejo,Grande,2019-03-16,853570.25,158,ativa,2026-06-19 11:56:22.669568
18,Alves Gestão 18,Serviços,Média,2002-06-01,506410.2,94,ativa,2026-06-19 11:56:22.669568
19,Borges Comércio 19,Varejo,Média,2017-11-17,513092.21,31,ativa,2026-06-19 11:56:22.669568
20,Cunha Industrial 20,Indústria,Grande,2016-03-25,1580608.81,120,ativa,2026-06-19 11:56:22.669568
