id_emprestimo,id_empresa,instituicao,valor_contratado,taxa_juros,quantidade_parcelas,valor_parcela,saldo_devedor,data_contratacao,data_proxima_parcela,status,data_criacao
1,1,Inter,124974.64,2.3642,24,6883.3,56141.66,2025-07-31,2026-06-24,ativo,2026-06-19 11:56:25.894691
2,4,Bradesco,307605.82,1.2842,18,19249.44,0.0,2022-07-01,,quitado,2026-06-19 11:56:25.894691
3,4,Banco do Brasil,692216.15,2.3761,36,28824.84,173369.09,2024-11-26,2026-06-19,ativo,2026-06-19 11:56:25.894691
4,5,Itaú,88705.01,2.68,48,3306.31,75479.77,2026-02-03,2026-06-24,ativo,2026-06-19 11:56:25.894691
5,5,Bradesco,83732.3,1.2207,48,2315.44,25846.28,2024-05-07,2026-07-10,ativo,2026-06-19 11:56:25.895196
6,6,Santander,136583.76,0.9291,24,6375.33,0.0,2024-01-04,,quitado,2026-06-19 11:56:25.895196
7,7,Santander,403530.76,1.7317,36,15157.65,0.0,2022-11-22,,quitado,2026-06-19 11:56:25.895196
8,7,Caixa Econômica Federal,253789.4,2.5892,12,24875.06,0.0,2024-03-31,,quitado,2026-06-19 11:56:25.895196
9,8,Itaú,227985.78,2.0904,18,15328.23,0.0,2023-02-01,,quitado,2026-06-19 11:56:25.895196
10,9,Itaú,162443.59,2.4215,36,6812.46,0.0,2022-06-29,,quitado,2026-06-19 11:56:25.895196
11,12,Bradesco,149212.53,1.8229,48,4691.0,0.0,2022-01-16,,quitado,2026-06-19 11:56:25.895196
12,12,Itaú,106040.91,2.1506,48,3563.89,0.0,2023-02-16,,quitado,2026-06-19 11:56:25.895196
13,13,Caixa Econômica Federal,79176.87,1.5256,36,2874.65,0.0,2023-09-20,,quitado,2026-06-19 11:56:25.895196
14,14,Bradesco,109728.24,2.432,24,6089.24,0.0,2023-07-16,,quitado,2026-06-19 11:56:25.896699
15,15,Caixa Econômica Federal,122286.95,1.6211,12,11296.04,9326.52,2025-08-12,2026-06-19,ativo,2026-06-19 11:56:25.896699
16,16,C6 Bank,215047.82,2.0853,24,11479.93,0.0,2024-09-15,,quitado,2026-06-19 11:56:25.896699
17,17,Bradesco,186869.82,1.9164,18,12373.19,0.0,2024-12-15,,quitado,2026-06-19 11:56:25.896699
18,18,Inter,167094.95,0.9637,12,14812.14,0.0,2023-06-19,,quitado,2026-06-19 11:56:25.896699
19,19,Inter,161149.51,2.791,36,7152.89,0.0,2022-04-27,,quitado,2026-06-19 11:56:25.896699
20,20,Itaú,340065.85,2.3823,36,14174.59,311716.67,2026-03-07,2026-06-24,ativo,2026-06-19 11:56:25.896699
21,20,Santander,597159.18,2.4742,24,33293.92,0.0,2024-05-09,,quitado,2026-06-19 11:56:25.896699
22,20,Banco do Brasil,536749.46,1.0892,24,25535.74,0.0,2022-06-21,,quitado,2026-06-19 11:56:25.896699
