id_fornecedor,id_empresa,nome_fornecedor,categoria,prazo_medio_pagamento,status,data_cadastro
1,1,Rocha,Manutenção,21,ativo,2025-07-27
2,1,Nascimento S/A,Energia,21,ativo,2022-03-24
3,1,Sá e Filhos,Matéria-prima,60,ativo,2022-05-27
4,1,Sampaio S/A,Mercadorias,45,ativo,2020-10-02
5,1,Montenegro,Manutenção,60,ativo,2022-05-04
6,1,da Rocha e Filhos,Logística,15,ativo,2024-09-08
7,1,Pereira,Energia,60,ativo,2024-04-06
8,1,da Paz - ME,Tecnologia,30,ativo,2025-06-06
9,1,Gonçalves,Logística,30,ativo,2022-08-07
10,1,Melo S.A.,Energia,45,ativo,2025-06-30
11,1,Carvalho Souza - ME,Marketing,60,ativo,2024-01-02
12,1,Porto,Manutenção,30,ativo,2021-01-30
13,1,da Rosa Rocha e Filhos,Tecnologia,15,ativo,2023-03-22
14,1,Albuquerque,Marketing,45,ativo,2023-08-25
15,1,Campos Aparecida S/A,Tecnologia,45,ativo,2021-04-19
16,1,Nascimento,Logística,45,ativo,2023-07-30
17,1,das Neves S.A.,Matéria-prima,30,ativo,2024-06-18
18,1,Cunha,Logística,45,ativo,2025-06-26
19,1,Ramos,Marketing,21,ativo,2020-04-28
20,2,Castro Cirino S.A.,Energia,60,ativo,2022-05-31
21,2,Correia,Marketing,15,ativo,2026-04-22
22,2,Cirino e Filhos,Serviços,30,ativo,2023-07-24
23,2,Sá - EI,Marketing,45,ativo,2024-12-15
24,2,Ramos,Marketing,45,ativo,2022-12-03
25,2,da Rocha e Filhos,Mercadorias,30,ativo,2025-06-11
26,2,da Cunha S/A,Tecnologia,30,ativo,2020-07-05
27,2,Silveira Pacheco - ME,Energia,45,ativo,2024-08-05
28,2,Fogaça,Tecnologia,60,ativo,2021-11-13
29,2,Rios Rezende S.A.,Tecnologia,15,ativo,2023-09-12
30,2,da Paz - EI,Logística,60,ativo,2026-01-19
31,2,Correia Ltda.,Mercadorias,15,ativo,2024-04-02
32,2,Machado,Matéria-prima,30,ativo,2023-12-15
33,2,Pimenta,Matéria-prima,15,ativo,2025-10-25
34,2,Sales,Tecnologia,30,ativo,2026-01-02
35,2,Nunes Nunes Ltda.,Tecnologia,21,ativo,2026-01-03
36,2,Lima,Marketing,21,ativo,2023-04-03
37,2,Abreu Dias S.A.,Logística,30,ativo,2023-09-19
38,2,Silva Sousa e Filhos,Marketing,21,ativo,2026-03-14
39,2,da Mota,Tecnologia,15,ativo,2020-05-27
40,2,Carvalho,Mercadorias,60,ativo,2021-02-23
41,2,Mendes,Marketing,45,ativo,2020-06-22
42,2,Machado,Logística,30,ativo,2023-05-19
43,2,Vasconcelos,Mercadorias,21,ativo,2022-10-09
44,2,Mendonça,Mercadorias,30,ativo,2021-05-21
45,2,Cavalcanti e Filhos,Marketing,45,ativo,2021-06-21
46,2,da Mota S.A.,Energia,15,ativo,2020-11-09
47,2,da Luz Siqueira e Filhos,Matéria-prima,60,ativo,2024-08-28
48,2,Siqueira S/A,Mercadorias,15,ativo,2026-01-27
49,2,Montenegro e Filhos,Logística,15,ativo,2024-05-21
50,2,Pacheco - EI,Tecnologia,60,ativo,2023-07-02
51,2,Vargas,Serviços,45,ativo,2025-09-29
52,2,Andrade Novaes Ltda.,Mercadorias,30,ativo,2023-01-27
53,2,Rezende,Manutenção,21,ativo,2021-02-12
54,2,Fonseca Gonçalves S.A.,Energia,60,ativo,2025-04-14
55,2,Carvalho,Marketing,30,ativo,2024-10-25
56,2,Montenegro,Matéria-prima,21,ativo,2024-07-22
57,2,Gonçalves Ltda.,Energia,45,ativo,2023-03-10
58,2,Ribeiro S.A.,Tecnologia,45,ativo,2020-03-11
59,2,Sá Moraes S.A.,Manutenção,45,ativo,2024-03-06
60,2,Castro,Matéria-prima,45,ativo,2022-07-06
61,2,Nunes Nunes e Filhos,Mercadorias,45,ativo,2022-08-08
62,2,Sousa Siqueira - ME,Manutenção,30,ativo,2025-05-06
63,3,Aparecida,Matéria-prima,30,ativo,2023-09-23
64,3,Teixeira Mendonça S.A.,Logística,15,ativo,2021-01-25
65,3,da Luz Ltda.,Logística,21,ativo,2025-06-29
66,3,Aparecida Rios S.A.,Tecnologia,15,ativo,2021-08-01
67,3,Gomes,Marketing,60,ativo,2025-04-23
68,3,Marques,Tecnologia,15,ativo,2025-07-14
69,3,Aparecida e Filhos,Energia,45,ativo,2023-06-29
70,3,Caldeira,Serviços,21,ativo,2020-05-29
71,3,Sousa,Serviços,60,ativo,2024-07-23
72,3,Pacheco,Mercadorias,30,ativo,2022-05-06
73,3,Garcia Rezende - ME,Manutenção,60,ativo,2025-08-09
74,3,Pastor,Serviços,21,ativo,2023-08-11
75,3,Moreira Ltda.,Manutenção,45,ativo,2025-10-08
76,3,Câmara,Matéria-prima,15,ativo,2024-10-09
77,3,Fogaça,Matéria-prima,45,ativo,2021-06-05
78,3,Mendonça,Mercadorias,21,ativo,2025-10-30
79,3,Pereira,Matéria-prima,21,ativo,2022-03-19
80,3,Montenegro S.A.,Manutenção,15,ativo,2020-06-08
81,3,Cavalcante,Marketing,45,ativo,2021-11-30
82,3,Barbosa Moraes e Filhos,Manutenção,21,ativo,2026-02-18
83,3,Cunha,Marketing,45,ativo,2020-02-07
84,3,Cirino Castro Ltda.,Energia,15,ativo,2024-11-18
85,3,Ribeiro S.A.,Energia,30,ativo,2025-11-10
86,3,Farias,Serviços,60,ativo,2024-03-02
87,3,Mendes e Filhos,Logística,21,ativo,2023-04-03
88,3,Mendes,Tecnologia,60,ativo,2024-02-29
89,3,Pastor Castro e Filhos,Energia,45,ativo,2025-03-10
90,3,Almeida,Tecnologia,30,ativo,2021-07-08
91,3,Aparecida Cardoso - EI,Logística,60,ativo,2025-04-24
92,3,Carvalho Pires - EI,Mercadorias,30,ativo,2024-09-01
93,3,Oliveira S.A.,Logística,21,ativo,2025-04-11
94,3,Cavalcante Ltda.,Matéria-prima,15,ativo,2023-07-01
95,3,Moreira Guerra - EI,Tecnologia,21,ativo,2021-01-19
96,3,Silveira e Filhos,Manutenção,30,ativo,2021-01-22
97,3,Barros,Mercadorias,60,ativo,2025-04-03
98,3,Machado Pereira - ME,Logística,15,ativo,2023-12-06
99,3,Cavalcante,Tecnologia,30,ativo,2020-02-27
100,3,Jesus Peixoto S.A.,Tecnologia,30,ativo,2023-03-10
101,3,Pinto Ribeiro - EI,Marketing,60,ativo,2023-06-06
102,3,Cavalcante,Serviços,60,ativo,2024-07-09
103,3,Marques,Energia,60,ativo,2026-01-25
104,3,da Conceição - ME,Tecnologia,15,ativo,2021-09-16
105,3,Cardoso,Matéria-prima,21,ativo,2023-02-20
106,3,Almeida S.A.,Logística,30,ativo,2026-04-27
107,3,Cassiano,Matéria-prima,21,ativo,2025-11-09
108,3,Cavalcanti - ME,Marketing,30,ativo,2026-06-15
109,3,Viana - EI,Energia,60,ativo,2025-04-23
110,3,Borges - ME,Tecnologia,21,ativo,2020-01-11
111,3,Pereira Nogueira S/A,Tecnologia,21,ativo,2021-01-09
112,3,Moreira,Logística,21,ativo,2021-11-06
113,3,Freitas,Manutenção,15,ativo,2023-08-17
114,3,Sampaio - EI,Matéria-prima,15,ativo,2021-07-15
115,3,da Conceição,Manutenção,45,ativo,2025-04-16
116,3,Vieira,Serviços,30,ativo,2025-08-11
117,3,Ferreira,Matéria-prima,21,ativo,2026-04-13
118,3,Lima S.A.,Marketing,45,ativo,2024-04-28
119,3,Mendes,Manutenção,30,ativo,2023-06-30
120,3,Barros da Paz - EI,Serviços,60,ativo,2020-11-16
121,3,da Cunha,Tecnologia,21,ativo,2023-02-11
122,3,Abreu Santos e Filhos,Logística,45,ativo,2026-04-14
123,3,Oliveira - EI,Manutenção,45,ativo,2022-10-23
124,3,Moreira S/A,Matéria-prima,60,ativo,2024-11-18
125,3,Rezende,Serviços,21,ativo,2020-04-13
126,3,Sales Dias - ME,Serviços,45,ativo,2023-11-18
127,3,Caldeira,Marketing,21,ativo,2026-04-11
128,3,Lima Rezende - EI,Tecnologia,45,ativo,2024-03-12
129,4,da Luz,Mercadorias,21,ativo,2024-12-15
130,4,Nunes,Serviços,60,ativo,2022-03-09
131,4,Pimenta,Mercadorias,60,ativo,2023-06-25
132,4,Rodrigues,Serviços,15,ativo,2024-02-19
133,4,Sá,Energia,60,ativo,2020-02-23
134,4,Jesus Novaes - EI,Energia,15,ativo,2023-01-31
135,4,Cavalcanti,Manutenção,45,ativo,2020-06-28
136,4,Novais,Energia,30,ativo,2020-08-22
137,4,da Cunha,Mercadorias,45,ativo,2025-02-04
138,4,Oliveira,Manutenção,21,ativo,2025-04-23
139,4,Vasconcelos,Matéria-prima,15,ativo,2024-02-22
140,4,Sousa,Mercadorias,60,ativo,2021-09-19
141,4,Ribeiro Campos e Filhos,Logística,21,ativo,2020-12-05
142,4,Machado Viana e Filhos,Marketing,15,ativo,2020-08-17
143,4,Brito Cunha - EI,Manutenção,15,ativo,2023-07-11
144,4,Viana,Matéria-prima,60,ativo,2023-02-10
145,4,Novaes,Tecnologia,60,ativo,2020-03-09
146,4,Castro - ME,Serviços,30,ativo,2021-11-24
147,4,Borges S.A.,Serviços,60,ativo,2020-02-28
148,4,Peixoto,Marketing,45,ativo,2020-09-08
149,5,Borges,Tecnologia,60,ativo,2021-08-27
150,5,da Luz S.A.,Energia,15,ativo,2021-12-07
151,5,Barros,Manutenção,15,ativo,2023-02-02
152,5,Silveira - ME,Tecnologia,60,ativo,2024-08-03
153,5,Pimenta,Logística,15,ativo,2023-06-28
154,5,Silva,Energia,60,ativo,2023-12-07
155,5,Vasconcelos S.A.,Matéria-prima,30,ativo,2025-03-24
156,5,Macedo,Matéria-prima,60,ativo,2025-03-11
157,5,Costa e Filhos,Matéria-prima,15,ativo,2021-01-05
158,5,Correia,Logística,15,ativo,2022-01-30
159,5,Viana - EI,Serviços,60,ativo,2020-03-23
160,5,Pimenta Cavalcante e Filhos,Logística,15,ativo,2022-06-09
161,5,Fonseca S.A.,Serviços,45,ativo,2020-11-28
162,5,Castro S/A,Tecnologia,30,ativo,2022-02-21
163,5,Vasconcelos,Logística,30,ativo,2020-08-06
164,5,Fogaça,Marketing,30,ativo,2021-12-30
165,5,Guerra,Energia,21,ativo,2026-05-03
166,6,Moreira Albuquerque e Filhos,Marketing,21,ativo,2022-02-10
167,6,Borges - EI,Energia,21,ativo,2021-12-26
168,6,Silveira,Energia,30,ativo,2024-12-05
169,6,Ferreira,Energia,15,ativo,2025-06-29
170,6,Câmara,Serviços,60,ativo,2024-01-29
171,6,Marques Guerra - EI,Serviços,60,ativo,2025-01-15
172,6,da Luz S.A.,Logística,15,ativo,2024-04-28
173,6,Montenegro,Logística,60,ativo,2026-05-18
174,6,Novais S/A,Tecnologia,45,ativo,2023-11-21
175,6,Fernandes,Energia,21,ativo,2023-11-02
176,6,Moraes Ltda.,Energia,15,ativo,2025-10-03
177,6,Sales,Tecnologia,30,ativo,2022-06-12
178,6,Garcia,Manutenção,30,ativo,2020-05-08
179,6,Vargas,Matéria-prima,60,ativo,2022-02-02
180,6,Sá Fernandes - ME,Manutenção,21,ativo,2025-03-28
181,6,Pastor,Serviços,30,ativo,2026-04-28
182,6,Mendes S/A,Marketing,60,ativo,2020-05-18
183,6,Azevedo,Serviços,15,ativo,2024-01-09
184,6,Porto,Mercadorias,21,ativo,2024-09-22
185,6,Rocha Sampaio S.A.,Manutenção,30,ativo,2023-10-11
186,6,Jesus,Matéria-prima,21,ativo,2024-01-06
187,6,Moreira,Energia,21,ativo,2025-03-27
188,6,Sampaio Ltda.,Logística,15,ativo,2024-12-03
189,6,da Paz Borges - ME,Manutenção,60,ativo,2026-06-17
190,6,Barbosa,Marketing,45,ativo,2025-04-23
191,6,Melo Dias Ltda.,Tecnologia,30,ativo,2024-03-08
192,6,Oliveira da Mata S.A.,Serviços,45,ativo,2024-07-01
193,6,Monteiro Sousa S.A.,Energia,15,ativo,2022-08-17
194,6,Sousa da Costa Ltda.,Matéria-prima,45,ativo,2024-10-10
195,6,da Conceição Costa S.A.,Energia,60,ativo,2024-06-29
196,6,Cassiano,Mercadorias,21,ativo,2025-09-28
197,6,Campos S/A,Logística,30,ativo,2025-11-16
198,6,Pimenta,Tecnologia,60,ativo,2021-07-25
199,6,Teixeira - EI,Logística,30,ativo,2020-08-08
200,6,Mendes Ltda.,Matéria-prima,30,ativo,2021-08-02
201,6,Monteiro,Serviços,45,ativo,2024-06-09
202,6,Mendonça,Logística,45,ativo,2020-01-04
203,6,Teixeira Moraes Ltda.,Logística,21,ativo,2021-12-05
204,6,Câmara,Energia,30,ativo,2020-11-25
205,6,Aragão Moura - ME,Logística,21,ativo,2022-04-12
206,6,Nogueira,Marketing,15,ativo,2022-09-29
207,6,Montenegro Ltda.,Logística,60,ativo,2024-03-12
208,6,Rodrigues,Mercadorias,45,ativo,2021-10-14
209,6,Marques Campos e Filhos,Serviços,15,ativo,2025-04-12
210,6,Dias,Marketing,21,ativo,2025-04-18
211,7,Albuquerque e Filhos,Marketing,45,ativo,2022-09-21
212,7,Garcia Pacheco S/A,Matéria-prima,45,ativo,2021-06-10
213,7,Fonseca,Serviços,21,ativo,2024-06-25
214,7,Cirino,Serviços,30,ativo,2024-10-05
215,7,da Costa,Marketing,60,ativo,2020-10-20
216,7,Melo,Serviços,45,ativo,2020-04-20
217,7,Fonseca,Tecnologia,60,ativo,2021-12-30
218,7,Monteiro Lima S.A.,Tecnologia,30,ativo,2024-01-23
219,7,Sampaio,Serviços,60,ativo,2020-01-07
220,7,Fonseca,Marketing,15,ativo,2022-07-31
221,7,da Mota,Logística,45,ativo,2022-02-08
222,7,Cirino,Mercadorias,21,ativo,2023-05-21
223,7,Oliveira Rodrigues S.A.,Marketing,15,ativo,2023-10-22
224,7,Silveira Ltda.,Marketing,21,ativo,2024-10-09
225,7,Novais Lopes - ME,Logística,30,ativo,2023-06-28
226,7,Casa Grande Sousa S.A.,Marketing,45,ativo,2020-05-22
227,7,Albuquerque,Energia,45,ativo,2022-01-05
228,7,Leão Monteiro S.A.,Logística,45,ativo,2025-10-20
229,7,Viana,Matéria-prima,45,ativo,2020-12-04
230,7,da Rosa,Serviços,15,ativo,2024-07-14
231,7,Novais,Mercadorias,21,ativo,2023-07-30
232,7,Gonçalves S/A,Logística,60,ativo,2025-09-07
233,7,Araújo Cunha Ltda.,Marketing,45,ativo,2020-02-17
234,7,Pires,Manutenção,45,ativo,2024-09-26
235,7,Machado e Filhos,Mercadorias,30,ativo,2024-10-06
236,7,da Luz,Energia,15,ativo,2025-01-18
237,7,Fonseca,Serviços,45,ativo,2023-10-04
238,7,Ferreira,Serviços,15,ativo,2022-01-02
239,7,Jesus S/A,Marketing,60,ativo,2024-04-19
240,7,Rocha,Matéria-prima,21,ativo,2020-01-29
241,7,Oliveira Oliveira e Filhos,Serviços,60,ativo,2022-11-22
242,7,Vasconcelos da Paz Ltda.,Tecnologia,60,ativo,2025-02-06
243,7,Rocha,Marketing,15,ativo,2025-03-18
244,7,Vasconcelos,Energia,15,ativo,2021-05-12
245,7,Barros,Manutenção,45,ativo,2024-02-12
246,7,Pimenta,Mercadorias,60,ativo,2024-02-21
247,8,Martins,Marketing,30,ativo,2023-04-28
248,8,Cavalcante Porto Ltda.,Mercadorias,60,ativo,2022-12-30
249,8,Pires,Logística,30,ativo,2024-01-01
250,8,Barbosa,Marketing,15,ativo,2025-01-03
251,8,Castro Ltda.,Serviços,30,ativo,2020-05-25
252,8,Dias Dias e Filhos,Matéria-prima,30,ativo,2020-05-29
253,8,Santos,Marketing,21,ativo,2021-12-18
254,8,Pereira,Matéria-prima,60,ativo,2021-01-22
255,8,da Mata,Logística,21,ativo,2025-07-14
256,8,Vasconcelos,Marketing,30,ativo,2023-11-15
257,8,Souza,Manutenção,60,ativo,2022-09-26
258,8,Jesus,Manutenção,15,ativo,2020-11-09
259,8,Cirino Almeida S.A.,Serviços,30,ativo,2020-06-05
260,8,Ribeiro da Cunha e Filhos,Logística,60,ativo,2021-02-18
261,8,Costela S.A.,Marketing,60,ativo,2020-11-18
262,8,Caldeira,Serviços,30,ativo,2024-09-26
263,8,Azevedo - ME,Marketing,15,ativo,2022-01-23
264,8,Alves - ME,Energia,15,ativo,2024-11-10
265,8,Caldeira Ltda.,Matéria-prima,21,ativo,2026-05-27
266,8,Barros Rezende - ME,Energia,30,ativo,2025-10-06
267,8,da Conceição,Tecnologia,15,ativo,2024-03-12
268,8,Sousa da Paz - ME,Manutenção,21,ativo,2024-11-24
269,8,Cardoso Moura S.A.,Energia,21,ativo,2023-02-07
270,8,Andrade e Filhos,Mercadorias,60,ativo,2024-06-20
271,8,Duarte,Logística,30,ativo,2023-01-21
272,8,Martins,Mercadorias,45,ativo,2022-04-28
273,8,Novaes,Mercadorias,45,ativo,2021-06-15
274,8,Carvalho,Energia,30,ativo,2025-03-09
275,8,Pastor Peixoto - ME,Serviços,15,ativo,2022-06-25
276,8,Moura,Tecnologia,15,ativo,2023-08-22
277,8,Ferreira,Tecnologia,15,ativo,2023-03-24
278,8,Nogueira,Manutenção,60,ativo,2024-09-19
279,8,Borges Macedo Ltda.,Serviços,60,ativo,2024-05-12
280,8,Jesus,Manutenção,60,ativo,2020-02-21
281,8,Cassiano,Serviços,30,ativo,2023-08-02
282,8,Albuquerque,Serviços,45,ativo,2021-09-13
283,8,Moreira S.A.,Manutenção,45,ativo,2022-05-12
284,8,da Paz,Logística,45,ativo,2022-11-13
285,8,Nascimento,Marketing,15,ativo,2026-05-29
286,8,Sales - ME,Matéria-prima,45,ativo,2026-04-18
287,8,da Rosa,Serviços,15,ativo,2022-04-30
288,9,Vargas - ME,Serviços,30,ativo,2022-06-29
289,9,Peixoto,Serviços,45,ativo,2024-08-21
290,9,Vieira Abreu - EI,Manutenção,15,ativo,2021-09-24
291,9,Correia,Logística,60,ativo,2022-10-30
292,9,Novais,Marketing,45,ativo,2026-06-10
293,9,Gonçalves,Mercadorias,30,ativo,2023-12-23
294,9,Castro Silva e Filhos,Manutenção,21,ativo,2022-12-17
295,9,Garcia,Logística,45,ativo,2024-04-05
296,9,da Luz Barros - ME,Matéria-prima,15,ativo,2023-01-28
297,9,Moreira Teixeira - EI,Tecnologia,21,ativo,2026-06-02
298,9,da Paz,Matéria-prima,60,ativo,2022-06-24
299,9,Jesus,Logística,21,ativo,2025-02-26
300,9,Azevedo Cirino S.A.,Marketing,60,ativo,2023-02-23
301,9,Camargo,Serviços,21,ativo,2023-03-15
302,9,Pinto,Energia,30,ativo,2025-03-05
303,9,da Mata,Serviços,15,ativo,2024-07-31
304,9,Correia,Serviços,60,ativo,2023-11-10
305,9,Almeida,Marketing,21,ativo,2025-09-03
306,9,Aragão Nascimento S/A,Marketing,45,ativo,2025-02-05
307,9,Caldeira da Paz Ltda.,Manutenção,30,ativo,2025-06-27
308,9,Silva Macedo e Filhos,Manutenção,21,ativo,2026-01-14
309,9,da Conceição S/A,Logística,45,ativo,2022-06-22
310,9,Albuquerque Monteiro S.A.,Mercadorias,60,ativo,2025-07-05
311,9,Leão,Serviços,45,ativo,2024-07-14
312,9,Viana,Logística,15,ativo,2023-01-03
313,9,Freitas,Marketing,45,ativo,2023-02-27
314,9,Sampaio,Tecnologia,15,ativo,2024-04-29
315,9,Farias S/A,Tecnologia,21,ativo,2024-04-10
316,9,Araújo da Mata - ME,Matéria-prima,60,ativo,2024-01-21
317,9,Nogueira - ME,Marketing,15,ativo,2022-09-05
318,9,Correia da Cunha - ME,Tecnologia,21,ativo,2024-01-18
319,9,Campos e Filhos,Manutenção,15,ativo,2026-03-12
320,9,Gomes Vargas - ME,Serviços,15,ativo,2025-01-08
321,9,Sousa Andrade S.A.,Marketing,60,ativo,2023-09-22
322,9,Sousa,Tecnologia,21,ativo,2023-06-04
323,9,Moreira e Filhos,Serviços,21,ativo,2021-11-02
324,9,Melo Gomes e Filhos,Manutenção,21,ativo,2022-08-31
325,9,Duarte,Logística,30,ativo,2021-03-21
326,9,Pires Siqueira S/A,Mercadorias,21,ativo,2024-02-04
327,9,da Cunha - ME,Manutenção,45,ativo,2022-03-25
328,9,Costa,Manutenção,21,ativo,2025-04-28
329,9,Aragão,Logística,45,ativo,2023-08-30
330,9,Camargo da Costa e Filhos,Matéria-prima,60,ativo,2025-07-21
331,9,Duarte,Serviços,21,ativo,2022-03-25
332,9,Cavalcante Ltda.,Manutenção,15,ativo,2020-11-23
333,9,Gonçalves S.A.,Mercadorias,45,ativo,2025-09-19
334,9,Aparecida - EI,Manutenção,45,ativo,2021-04-02
335,9,Sales,Marketing,30,ativo,2025-10-23
336,9,Freitas Vargas S/A,Matéria-prima,60,ativo,2024-06-26
337,9,Castro Monteiro S/A,Mercadorias,45,ativo,2023-07-21
338,9,Teixeira,Mercadorias,30,ativo,2025-05-29
339,9,Araújo Ltda.,Marketing,15,ativo,2022-11-23
340,9,Sampaio Nascimento S/A,Marketing,60,ativo,2024-05-20
341,9,Mendonça da Conceição Ltda.,Manutenção,45,ativo,2025-04-09
342,9,Macedo,Matéria-prima,15,ativo,2021-09-03
343,9,Almeida Sales - ME,Energia,60,ativo,2025-01-30
344,9,Silveira,Matéria-prima,21,ativo,2022-11-29
345,9,da Cunha Aparecida - ME,Marketing,30,ativo,2021-08-26
346,9,Novais,Tecnologia,45,ativo,2022-01-13
347,9,Nogueira,Energia,15,ativo,2022-09-15
348,9,Correia,Matéria-prima,45,ativo,2025-11-24
349,9,Nogueira Ferreira Ltda.,Manutenção,21,ativo,2025-02-06
350,9,da Mota,Energia,30,ativo,2022-07-06
351,9,Azevedo Moura S.A.,Manutenção,30,ativo,2025-04-09
352,9,da Rocha,Manutenção,30,ativo,2024-01-16
353,9,Nogueira,Energia,60,ativo,2021-01-21
354,9,Marques,Logística,21,ativo,2023-10-13
355,9,Vasconcelos e Filhos,Energia,15,ativo,2022-02-04
356,9,Siqueira,Serviços,60,ativo,2022-11-21
357,9,Almeida Pinto Ltda.,Energia,30,ativo,2026-02-25
358,9,Duarte Silveira S/A,Logística,60,ativo,2024-05-30
359,9,Correia,Energia,45,ativo,2024-11-08
360,9,Vargas,Manutenção,30,ativo,2021-09-21
361,9,Pimenta da Paz Ltda.,Logística,21,ativo,2024-04-06
362,9,Ramos,Energia,45,ativo,2022-04-19
363,9,Camargo,Tecnologia,15,ativo,2025-08-17
364,9,Moreira e Filhos,Tecnologia,60,ativo,2022-07-22
365,9,Aparecida S.A.,Logística,60,ativo,2020-12-03
366,9,Andrade Costa S/A,Energia,30,ativo,2024-11-24
367,9,Correia,Marketing,45,ativo,2024-04-28
368,9,Andrade - EI,Logística,30,ativo,2024-06-19
369,9,Ribeiro,Logística,60,ativo,2025-08-21
370,10,Moura,Serviços,60,ativo,2023-11-01
371,10,Aragão,Marketing,45,ativo,2025-05-15
372,10,Câmara,Logística,60,ativo,2024-06-09
373,10,Albuquerque S.A.,Logística,45,ativo,2023-11-12
374,10,Barros,Mercadorias,15,ativo,2023-08-28
375,10,Porto,Tecnologia,30,ativo,2022-11-22
376,10,Fonseca - EI,Tecnologia,21,ativo,2023-04-18
377,10,Freitas,Matéria-prima,21,ativo,2023-09-26
378,10,Pimenta Ltda.,Manutenção,45,ativo,2024-12-05
379,10,Siqueira S/A,Mercadorias,60,ativo,2023-01-06
380,10,Barbosa,Tecnologia,30,ativo,2025-06-17
381,10,Moreira Brito S/A,Mercadorias,45,ativo,2025-03-31
382,10,Nascimento Gomes S.A.,Matéria-prima,30,ativo,2024-07-31
383,10,Moura Ribeiro S.A.,Matéria-prima,30,ativo,2024-11-02
384,10,Novais Souza - EI,Matéria-prima,15,ativo,2024-03-28
385,10,Souza,Tecnologia,21,ativo,2023-03-04
386,10,Vargas e Filhos,Logística,21,ativo,2023-01-06
387,10,Rocha,Manutenção,21,ativo,2021-12-17
388,10,Sampaio,Energia,60,ativo,2023-04-17
389,10,Caldeira,Matéria-prima,21,ativo,2025-11-05
390,10,Vieira Cirino - EI,Matéria-prima,21,ativo,2024-08-31
391,10,Montenegro,Energia,15,ativo,2022-11-25
392,10,Ribeiro,Tecnologia,21,ativo,2025-01-07
